NAMELONG,GLEVEL,IS_MAGNET,CITY,EXISTING,IS_TITLE1,OBJECTID_1,DISTRICT,NAME,COUNT
Swift Creek Elementary,E,N,WAKE COUNTY,YES,N,2,5,Jim Martin,17
Briarcliff Elementary,E,N,CARY,YES,N,8,9,Bill Fletcher,22
Farmington Woods Elementary,E,Y,CARY,YES,N,8,9,Bill Fletcher,22
Cary High,H,N,CARY,YES,N,8,9,Bill Fletcher,22
Adams Elementary,E,N,CARY,YES,N,8,9,Bill Fletcher,22
Apex Elementary,E,N,APEX,YES,N,7,8,Lindsay Mahaffey,26
Apex High,H,N,APEX,YES,N,7,8,Lindsay Mahaffey,26
Kingswood Elementary,E,Y,CARY,YES,Y,8,9,Bill Fletcher,22
Northwoods Elementary,E,N,CARY,YES,N,8,9,Bill Fletcher,22
Combs Elementary,E,Y,RALEIGH,YES,N,2,5,Jim Martin,17
Athens Drive High,H,Y,RALEIGH,YES,N,2,5,Jim Martin,17
Broughton High,H,Y,RALEIGH,YES,N,4,6,Christine Kushner,23
Powell Elementary,E,Y,RALEIGH,YES,Y,1,4,Keith Sutton,19
Mary E. Phillips High School,S,N,RALEIGH,YES,Y,1,4,Keith Sutton,19
Ligon Middle,M,Y,RALEIGH,YES,N,1,4,Keith Sutton,19
Washington Elementary,E,Y,RALEIGH,YES,N,2,5,Jim Martin,17
Carnage Middle,M,Y,RALEIGH,YES,N,1,4,Keith Sutton,19
Daniels Middle,M,Y,RALEIGH,YES,N,4,6,Christine Kushner,23
Root Elementary,E,N,RALEIGH,YES,N,4,6,Christine Kushner,23
Lynn Road Elementary,E,N,RALEIGH,YES,Y,4,6,Christine Kushner,23
Brooks Elementary,E,Y,RALEIGH,YES,N,4,6,Christine Kushner,23
Carroll Middle,M,Y,RALEIGH,YES,N,4,6,Christine Kushner,23
Douglas Elementary,E,Y,RALEIGH,YES,N,4,6,Christine Kushner,23
Millbrook Elementary,E,Y,RALEIGH,YES,Y,4,6,Christine Kushner,23
Wilburn Elementary,E,N,RALEIGH,YES,Y,1,4,Keith Sutton,19
East Millbrook Middle,M,Y,RALEIGH,YES,N,6,3,Roxie Cash,18
Fox Road Elementary,E,Y,RALEIGH,YES,Y,6,3,Roxie Cash,18
Lead Mine Elementary,E,N,RALEIGH,YES,N,5,7,Kathy Hartenstine,15
Brassfield Elementary,E,N,WAKE COUNTY,YES,N,6,3,Roxie Cash,18
Pleasant Union Elementary,E,N,WAKE COUNTY,YES,N,6,3,Roxie Cash,18
Fuquay-Varina Middle,M,N,FUQUAY-VARINA,YES,N,9,2,Monika Johnson-Hostler,20
Rand Road Elementary,E,N,GARNER,YES,N,9,2,Monika Johnson-Hostler,20
Bugg Elementary,E,Y,RALEIGH,YES,Y,1,4,Keith Sutton,19
Lockhart Elementary,E,N,KNIGHTDALE,YES,Y,3,1,Donald Agee,30
East Wake High,H,N,WAKE COUNTY,YES,N,3,1,Donald Agee,30
Wendell Elementary,E,Y,WENDELL,YES,Y,3,1,Donald Agee,30
Zebulon Middle,M,Y,ZEBULON,YES,N,3,1,Donald Agee,30
East Wake Middle,M,N,KNIGHTDALE,YES,N,3,1,Donald Agee,30
Rolesville Elementary,E,N,ROLESVILLE,YES,N,3,1,Donald Agee,30
Wake Forest Elementary,E,N,WAKE FOREST,YES,Y,3,1,Donald Agee,30
Wake Forest Middle,M,N,WAKE FOREST,YES,N,3,1,Donald Agee,30
Durant Road Elementary,E,N,RALEIGH,YES,N,6,3,Roxie Cash,18
Stough Elementary,E,Y,RALEIGH,YES,Y,4,6,Christine Kushner,23
York Elementary,E,N,RALEIGH,YES,Y,5,7,Kathy Hartenstine,15
Jeffreys Grove Elementary,E,Y,RALEIGH,YES,N,5,7,Kathy Hartenstine,15
West Lake Elementary,E,N,CARY,YES,N,2,5,Jim Martin,17
Green Hope High,H,N,CARY,YES,N,8,9,Bill Fletcher,22
Southeast Raleigh High,H,Y,RALEIGH,YES,N,1,4,Keith Sutton,19
ROCK QUARRY SERVICE CENTER,A,,RALEIGH,NO,,1,4,Keith Sutton,19
Olive Chapel Elementary,E,N,APEX,YES,N,7,8,Lindsay Mahaffey,26
Carver Elementary,E,N,WENDELL,YES,Y,3,1,Donald Agee,30
Oak Grove Elementary,E,N,CARY,YES,N,7,8,Lindsay Mahaffey,26
Apex Middle,M,N,APEX,YES,N,7,8,Lindsay Mahaffey,26
Baucom Elementary,E,N,APEX,YES,N,7,8,Lindsay Mahaffey,26
Brentwood Elementary,E,Y,RALEIGH,YES,Y,4,6,Christine Kushner,23
East Cary Middle,M,N,CARY,YES,N,8,9,Bill Fletcher,22
Enloe High,H,Y,RALEIGH,YES,N,1,4,Keith Sutton,19
Knightdale Elementary,E,N,KNIGHTDALE,YES,Y,3,1,Donald Agee,30
Millbrook High,H,Y,RALEIGH,YES,N,6,3,Roxie Cash,18
North Ridge Elementary,E,N,RALEIGH,YES,N,6,3,Roxie Cash,18
Sanderson High,H,N,RALEIGH,YES,N,4,6,Christine Kushner,23
Morrisville Elementary,E,N,MORRISVILLE,YES,N,5,7,Kathy Hartenstine,15
West Cary Middle,M,N,CARY,YES,N,8,9,Bill Fletcher,22
West Millbrook Middle,M,N,RALEIGH,YES,N,6,3,Roxie Cash,18
Martin Middle,M,Y,RALEIGH,YES,N,4,6,Christine Kushner,23
Olds Elementary,E,N,RALEIGH,YES,N,4,6,Christine Kushner,23
Wake Forest High,H,N,WAKE FOREST,YES,N,3,1,Donald Agee,30
Wiley Elementary,E,Y,RALEIGH,YES,N,4,6,Christine Kushner,23
Wildwood Forest Elementary,E,N,RALEIGH,YES,Y,6,3,Roxie Cash,18
Yates Mill Elementary,E,N,WAKE COUNTY,YES,Y,2,5,Jim Martin,17
Partnership Elementary,E,A,RALEIGH,YES,N,4,6,Christine Kushner,23
Centennial Campus Middle,M,Y,RALEIGH,YES,N,2,5,Jim Martin,17
Green Hope Elementary,E,N,CARY,YES,N,8,9,Bill Fletcher,22
Heritage Middle,M,N,WAKE FOREST,YES,N,3,1,Donald Agee,30
Moore Square Middle,M,Y,RALEIGH,YES,N,2,5,Jim Martin,17
Baileywick Road Elementary,E,N,RALEIGH,YES,Y,6,3,Roxie Cash,18
Middle Creek High,H,N,CARY,YES,N,2,5,Jim Martin,17
Lufkin Road Middle,M,N,APEX,YES,N,7,8,Lindsay Mahaffey,26
Turner Creek Elementary,E,N,CARY,YES,N,7,8,Lindsay Mahaffey,26
Salem Elementary,E,N,APEX,YES,N,8,9,Bill Fletcher,22
Salem Middle,M,N,APEX,YES,N,8,9,Bill Fletcher,22
Highcroft Drive Elementary,E,N,CARY,YES,N,7,8,Lindsay Mahaffey,26
Davis Drive Middle,M,N,CARY,YES,N,8,9,Bill Fletcher,22
Davis Drive Elementary,E,N,CARY,YES,N,8,9,Bill Fletcher,22
Heritage Elementary,E,N,WAKE FOREST,YES,N,3,1,Donald Agee,30
Cedar Fork Elementary,E,N,MORRISVILLE,YES,N,5,7,Kathy Hartenstine,15
Panther Creek High,H,N,CARY,YES,N,5,7,Kathy Hartenstine,15
Cary Elementary,E,N,CARY,YES,Y,8,9,Bill Fletcher,22
Holly Springs High,H,N,HOLLY SPRINGS,YES,N,7,8,Lindsay Mahaffey,26
Brier Creek Elementary,E,N,RALEIGH,YES,N,5,7,Kathy Hartenstine,15
Durant Road Middle,M,N,RALEIGH,YES,N,6,3,Roxie Cash,18
Weatherstone Elementary,E,N,CARY,YES,N,8,9,Bill Fletcher,22
North Garner Middle,M,N,GARNER,YES,N,9,2,Monika Johnson-Hostler,20
Hilburn Drive Academy,EM,N,RALEIGH,YES,N,5,7,Kathy Hartenstine,15
Conn Elementary,E,Y,RALEIGH,YES,Y,1,4,Keith Sutton,19
Underwood Elementary,E,Y,RALEIGH,YES,N,4,6,Christine Kushner,23
