OBJECTID,NAMELONG,GLEVEL,PHONE,PROJ_CAP,IS_MAGNET,CITY,EXISTING,NAMESHORT,LOGRADE,HIGRADE,CALENDAR,ADDRNUMBER,ADDRROOT,ADDRCITY_1,ADDRZIPCOD,APPTYPE,CAPACITYTO,TEMPCLASSR,STATUS,IS_TITLE1,WEBSITE,TAG,SCHOOLID,LEACODE,CODEN,OBJECTID_1,DISTRICT,NAME,TITLE,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,Shape__Are,Shape__Len,COUNT
1,Swift Creek Elementary,E,919-233-4320,494,N,WAKE COUNTY,YES,SWIFT CREEK ES,KI,5,T,5601,Tryon Rd,Raleigh,27606,N,531,2,E,N,http://www.wcpss.net/swiftcreekes,568,568,920568,568,2,5,Jim Martin,,,,BSTRAUSS,2017-09-27T13:17:43.000Z,0.01631,0.78331,17
2,Briarcliff Elementary,E,919-460-3443,563,N,CARY,YES,BRIARCLIFF ES,KI,5,T,1220,Pond St,Cary,27511,N,605,4,E,N,http://www.wcpss.net/briarcliffes,340,340,920340,340,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
3,Farmington Woods Elementary,E,919-460-3469,681,Y,CARY,YES,FARMINGTON WOODS ES,KI,5,T,1413,Hampton Valley Rd,Cary,27511,M,719,10,E,N,http://www.wcpss.net/farmingtonwoodses,414,414,920414,414,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
4,Cary High,H,919-460-3549,2223,N,CARY,YES,CARY HS,9,12,T,638,Walnut St,Cary,27511,N,2193,0,H,N,http://www.wcpss.net/caryhs,368,368,920368,368,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
5,Adams Elementary,E,919-460-3431,843,N,CARY,YES,ADAMS ES,KI,5,Y,805,Cary Towne Blvd,Cary,27511,N,765,8,E,N,http://www.wcpss.net/adamses,304,304,920304,304,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
6,Apex Elementary,E,919-387-2150,609,N,APEX,YES,APEX ES,KI,5,T,700,Tingen Rd,Apex,27502,N,637,4,E,N,http://www.wcpss.net/apexes,308,308,920308,308,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
7,Apex High,H,919-387-2208,1663,N,APEX,YES,APEX HS,9,12,T,1501,Laura Duncan Rd,Apex,27502,N,2143,21,H,N,http://www.wcpss.net/apexhs,316,316,920316,316,7,8,Lindsay Mahaffey,,,,LSAGO,2017-03-01T09:20:13.000Z,0.03525,1.10856,26
8,Kingswood Elementary,E,919-460-3481,390,Y,CARY,YES,KINGSWOOD ES,KI,5,T,200,E Johnson St,Cary,27513,M,390,0,E,Y,http://www.wcpss.net/kingswoodes,460,460,920460,460,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
9,Northwoods Elementary,E,919-460-3491,747,N,CARY,YES,NORTHWOODS ES,KI,5,T,8850,Chapel Hill Rd,Cary,27513,N,540,3,E,N,http://www.wcpss.net/northwoodses,520,520,920520,520,8,9,Bill Fletcher,,,,,,0.01108,0.67609,22
10,Combs Elementary,E,919-233-4300,673,Y,RALEIGH,YES,COMBS ES,KI,5,T,2001,Lorimer Rd,Raleigh,27606,M,811,13,E,N,http://www.wcpss.net/combses,376,376,920376,376,2,5,Jim Martin,,,,BSTRAUSS,2017-09-27T13:17:43.000Z,0.01631,0.78331,17
